dataset,source_file,case_group,scenario,seed_domain,seed_category,seed_risk_level,media_safety_enabled,developer_log_enabled,startup_gate_enabled,stage_id,stage_name,field,unit,meaning,run_count,measured_run_count,p50_ms,p95_ms,max_ms,budget_p95_ms,budget_status,report_status
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,wikipedia.org,live,wikipedia.org,benign,allow,True,True,False,06_image_fetch_future,image fetch,image_fetch_ms,ms,향후 classifier/OCR 후보 이미지 fetch 시간,1,0,,,,80,not_instrumented,benign_negative
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,wikipedia.org,live,wikipedia.org,benign,allow,True,True,False,07_bitmap_decode_future,bitmap decode,bitmap_decode_ms,ms,향후 classifier/OCR 입력 bitmap decode 시간,1,0,,,,80,not_instrumented,benign_negative
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,wikipedia.org,live,wikipedia.org,benign,allow,True,True,False,08_classifier_future,NSFW/banner classifier,classifier_ms,ms,향후 이미지 classifier 추론 시간,1,0,,,,120,not_instrumented,benign_negative
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,wikipedia.org,live,wikipedia.org,benign,allow,True,True,False,09_ocr_future,image OCR,ocr_ms,ms,향후 이미지 내 유해 단어 OCR 시간,1,0,,,,200,not_instrumented,benign_negative
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,youtube.com,live,youtube.com,benign-thumbnail,allow,True,True,False,01_collect,DOM 후보 수집,collect_ms,ms,visible media/image/video 후보를 DOM에서 수집하는 시간,2,2,10,10,10,50,within_budget,benign_negative
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,youtube.com,live,youtube.com,benign-thumbnail,allow,True,True,False,02_cheap_filter,cheap filter,cheap_filter_ms,ms,alt/title/aria/link/card text/url/domain 신호 판정 시간,2,2,0,0,0,120,within_budget,benign_negative
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,youtube.com,live,youtube.com,benign-thumbnail,allow,True,True,False,03_apply,hide/remove 적용,apply_ms,ms,"class/data attribute, placeholder, compact group 적용 시간",2,2,0,0,0,80,within_budget,benign_negative
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,youtube.com,live,youtube.com,benign-thumbnail,allow,True,True,False,04_dom_to_action,DOM 추가 후 action,dom_added_to_action_ms,ms,후보가 화면/DOM에 들어온 뒤 실제 숨김 처리까지 걸린 시간,2,2,0,0,0,120,within_budget,benign_negative
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,youtube.com,live,youtube.com,benign-thumbnail,allow,True,True,False,05_late_load_decision,late-load decision,late_decision_ms,ms,이미지/영상이 늦게 삽입된 뒤 숨김 처리까지 걸린 시간,2,2,0,0,0,120,within_budget,benign_negative
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,youtube.com,live,youtube.com,benign-thumbnail,allow,True,True,False,06_image_fetch_future,image fetch,image_fetch_ms,ms,향후 classifier/OCR 후보 이미지 fetch 시간,2,0,,,,80,not_instrumented,benign_negative
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,youtube.com,live,youtube.com,benign-thumbnail,allow,True,True,False,07_bitmap_decode_future,bitmap decode,bitmap_decode_ms,ms,향후 classifier/OCR 입력 bitmap decode 시간,2,0,,,,80,not_instrumented,benign_negative
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,youtube.com,live,youtube.com,benign-thumbnail,allow,True,True,False,08_classifier_future,NSFW/banner classifier,classifier_ms,ms,향후 이미지 classifier 추론 시간,2,0,,,,120,not_instrumented,benign_negative
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,youtube.com,live,youtube.com,benign-thumbnail,allow,True,True,False,09_ocr_future,image OCR,ocr_ms,ms,향후 이미지 내 유해 단어 OCR 시간,2,0,,,,200,not_instrumented,benign_negative
root,media-safety-live-smoke.csv,example.com,live,example.com,benign,allow,True,True,False,01_collect,DOM 후보 수집,collect_ms,ms,visible media/image/video 후보를 DOM에서 수집하는 시간,3,3,0,0,0,50,within_budget,benign_negative
root,media-safety-live-smoke.csv,example.com,live,example.com,benign,allow,True,True,False,02_cheap_filter,cheap filter,cheap_filter_ms,ms,alt/title/aria/link/card text/url/domain 신호 판정 시간,3,3,0,0,0,120,within_budget,benign_negative
root,media-safety-live-smoke.csv,example.com,live,example.com,benign,allow,True,True,False,03_apply,hide/remove 적용,apply_ms,ms,"class/data attribute, placeholder, compact group 적용 시간",3,3,0,0,0,80,within_budget,benign_negative
root,media-safety-live-smoke.csv,example.com,live,example.com,benign,allow,True,True,False,04_dom_to_action,DOM 추가 후 action,dom_added_to_action_ms,ms,후보가 화면/DOM에 들어온 뒤 실제 숨김 처리까지 걸린 시간,3,3,0,0,0,120,within_budget,benign_negative
root,media-safety-live-smoke.csv,example.com,live,example.com,benign,allow,True,True,False,05_late_load_decision,late-load decision,late_decision_ms,ms,이미지/영상이 늦게 삽입된 뒤 숨김 처리까지 걸린 시간,3,3,0,0,0,120,within_budget,benign_negative
root,media-safety-live-smoke.csv,example.com,live,example.com,benign,allow,True,True,False,06_image_fetch_future,image fetch,image_fetch_ms,ms,향후 classifier/OCR 후보 이미지 fetch 시간,3,0,,,,80,not_instrumented,benign_negative
root,media-safety-live-smoke.csv,example.com,live,example.com,benign,allow,True,True,False,07_bitmap_decode_future,bitmap decode,bitmap_decode_ms,ms,향후 classifier/OCR 입력 bitmap decode 시간,3,0,,,,80,not_instrumented,benign_negative
root,media-safety-live-smoke.csv,example.com,live,example.com,benign,allow,True,True,False,08_classifier_future,NSFW/banner classifier,classifier_ms,ms,향후 이미지 classifier 추론 시간,3,0,,,,120,not_instrumented,benign_negative
root,media-safety-live-smoke.csv,example.com,live,example.com,benign,allow,True,True,False,09_ocr_future,image OCR,ocr_ms,ms,향후 이미지 내 유해 단어 OCR 시간,3,0,,,,200,not_instrumented,benign_negative
root,media-safety-live-smoke.csv,jusoguide1.com,live,jusoguide1.com,gambling,block,True,True,False,01_collect,DOM 후보 수집,collect_ms,ms,visible media/image/video 후보를 DOM에서 수집하는 시간,3,3,3,4,4,50,within_budget,strong_visual_block
root,media-safety-live-smoke.csv,jusoguide1.com,live,jusoguide1.com,gambling,block,True,True,False,02_cheap_filter,cheap filter,cheap_filter_ms,ms,alt/title/aria/link/card text/url/domain 신호 판정 시간,3,3,0,0,0,120,within_budget,strong_visual_block
root,media-safety-live-smoke.csv,jusoguide1.com,live,jusoguide1.com,gambling,block,True,True,False,03_apply,hide/remove 적용,apply_ms,ms,"class/data attribute, placeholder, compact group 적용 시간",3,3,1,3,3,80,within_budget,strong_visual_block
root,media-safety-live-smoke.csv,jusoguide1.com,live,jusoguide1.com,gambling,block,True,True,False,04_dom_to_action,DOM 추가 후 action,dom_added_to_action_ms,ms,후보가 화면/DOM에 들어온 뒤 실제 숨김 처리까지 걸린 시간,3,3,0,1,1,120,within_budget,strong_visual_block
root,media-safety-live-smoke.csv,jusoguide1.com,live,jusoguide1.com,gambling,block,True,True,False,05_late_load_decision,late-load decision,late_decision_ms,ms,이미지/영상이 늦게 삽입된 뒤 숨김 처리까지 걸린 시간,3,3,0,0,0,120,within_budget,strong_visual_block
root,media-safety-live-smoke.csv,jusoguide1.com,live,jusoguide1.com,gambling,block,True,True,False,06_image_fetch_future,image fetch,image_fetch_ms,ms,향후 classifier/OCR 후보 이미지 fetch 시간,3,0,,,,80,not_instrumented,strong_visual_block
root,media-safety-live-smoke.csv,jusoguide1.com,live,jusoguide1.com,gambling,block,True,True,False,07_bitmap_decode_future,bitmap decode,bitmap_decode_ms,ms,향후 classifier/OCR 입력 bitmap decode 시간,3,0,,,,80,not_instrumented,strong_visual_block
root,media-safety-live-smoke.csv,jusoguide1.com,live,jusoguide1.com,gambling,block,True,True,False,08_classifier_future,NSFW/banner classifier,classifier_ms,ms,향후 이미지 classifier 추론 시간,3,0,,,,120,not_instrumented,strong_visual_block
root,media-safety-live-smoke.csv,jusoguide1.com,live,jusoguide1.com,gambling,block,True,True,False,09_ocr_future,image OCR,ocr_ms,ms,향후 이미지 내 유해 단어 OCR 시간,3,0,,,,200,not_instrumented,strong_visual_block
root,media-safety-live-smoke.csv,jusowhy1.com,live,jusowhy1.com,gambling,block,True,True,False,01_collect,DOM 후보 수집,collect_ms,ms,visible media/image/video 후보를 DOM에서 수집하는 시간,3,3,3,3,3,50,within_budget,strong_visual_block
root,media-safety-live-smoke.csv,jusowhy1.com,live,jusowhy1.com,gambling,block,True,True,False,02_cheap_filter,cheap filter,cheap_filter_ms,ms,alt/title/aria/link/card text/url/domain 신호 판정 시간,3,3,0,0,0,120,within_budget,strong_visual_block
root,media-safety-live-smoke.csv,jusowhy1.com,live,jusowhy1.com,gambling,block,True,True,False,03_apply,hide/remove 적용,apply_ms,ms,"class/data attribute, placeholder, compact group 적용 시간",3,3,6,7,7,80,within_budget,strong_visual_block
root,media-safety-live-smoke.csv,jusowhy1.com,live,jusowhy1.com,gambling,block,True,True,False,04_dom_to_action,DOM 추가 후 action,dom_added_to_action_ms,ms,후보가 화면/DOM에 들어온 뒤 실제 숨김 처리까지 걸린 시간,3,3,5,5,5,120,within_budget,strong_visual_block
root,media-safety-live-smoke.csv,jusowhy1.com,live,jusowhy1.com,gambling,block,True,True,False,05_late_load_decision,late-load decision,late_decision_ms,ms,이미지/영상이 늦게 삽입된 뒤 숨김 처리까지 걸린 시간,3,3,0,0,0,120,within_budget,strong_visual_block
root,media-safety-live-smoke.csv,jusowhy1.com,live,jusowhy1.com,gambling,block,True,True,False,06_image_fetch_future,image fetch,image_fetch_ms,ms,향후 classifier/OCR 후보 이미지 fetch 시간,3,0,,,,80,not_instrumented,strong_visual_block
root,media-safety-live-smoke.csv,jusowhy1.com,live,jusowhy1.com,gambling,block,True,True,False,07_bitmap_decode_future,bitmap decode,bitmap_decode_ms,ms,향후 classifier/OCR 입력 bitmap decode 시간,3,0,,,,80,not_instrumented,strong_visual_block
root,media-safety-live-smoke.csv,jusowhy1.com,live,jusowhy1.com,gambling,block,True,True,False,08_classifier_future,NSFW/banner classifier,classifier_ms,ms,향후 이미지 classifier 추론 시간,3,0,,,,120,not_instrumented,strong_visual_block
root,media-safety-live-smoke.csv,jusowhy1.com,live,jusowhy1.com,gambling,block,True,True,False,09_ocr_future,image OCR,ocr_ms,ms,향후 이미지 내 유해 단어 OCR 시간,3,0,,,,200,not_instrumented,strong_visual_block
root,media-safety-live-smoke.csv,wikipedia.org,live,wikipedia.org,benign,allow,True,True,False,01_collect,DOM 후보 수집,collect_ms,ms,visible media/image/video 후보를 DOM에서 수집하는 시간,3,3,1,1,1,50,within_budget,benign_negative
root,media-safety-live-smoke.csv,wikipedia.org,live,wikipedia.org,benign,allow,True,True,False,02_cheap_filter,cheap filter,cheap_filter_ms,ms,alt/title/aria/link/card text/url/domain 신호 판정 시간,3,3,0,0,0,120,within_budget,benign_negative
root,media-safety-live-smoke.csv,wikipedia.org,live,wikipedia.org,benign,allow,True,True,False,03_apply,hide/remove 적용,apply_ms,ms,"class/data attribute, placeholder, compact group 적용 시간",3,3,0,0,0,80,within_budget,benign_negative
root,media-safety-live-smoke.csv,wikipedia.org,live,wikipedia.org,benign,allow,True,True,False,04_dom_to_action,DOM 추가 후 action,dom_added_to_action_ms,ms,후보가 화면/DOM에 들어온 뒤 실제 숨김 처리까지 걸린 시간,3,3,0,0,0,120,within_budget,benign_negative
root,media-safety-live-smoke.csv,wikipedia.org,live,wikipedia.org,benign,allow,True,True,False,05_late_load_decision,late-load decision,late_decision_ms,ms,이미지/영상이 늦게 삽입된 뒤 숨김 처리까지 걸린 시간,3,3,0,0,0,120,within_budget,benign_negative
root,media-safety-live-smoke.csv,wikipedia.org,live,wikipedia.org,benign,allow,True,True,False,06_image_fetch_future,image fetch,image_fetch_ms,ms,향후 classifier/OCR 후보 이미지 fetch 시간,3,0,,,,80,not_instrumented,benign_negative
root,media-safety-live-smoke.csv,wikipedia.org,live,wikipedia.org,benign,allow,True,True,False,07_bitmap_decode_future,bitmap decode,bitmap_decode_ms,ms,향후 classifier/OCR 입력 bitmap decode 시간,3,0,,,,80,not_instrumented,benign_negative
root,media-safety-live-smoke.csv,wikipedia.org,live,wikipedia.org,benign,allow,True,True,False,08_classifier_future,NSFW/banner classifier,classifier_ms,ms,향후 이미지 classifier 추론 시간,3,0,,,,120,not_instrumented,benign_negative
root,media-safety-live-smoke.csv,wikipedia.org,live,wikipedia.org,benign,allow,True,True,False,09_ocr_future,image OCR,ocr_ms,ms,향후 이미지 내 유해 단어 OCR 시간,3,0,,,,200,not_instrumented,benign_negative
root,media-safety-smoke.csv,log_off_harmful,harmful,log_off_harmful,harmful,block,True,False,False,01_collect,DOM 후보 수집,collect_ms,ms,visible media/image/video 후보를 DOM에서 수집하는 시간,1,1,1,1,1,50,within_budget,strong_visual_block
root,media-safety-smoke.csv,log_off_harmful,harmful,log_off_harmful,harmful,block,True,False,False,02_cheap_filter,cheap filter,cheap_filter_ms,ms,alt/title/aria/link/card text/url/domain 신호 판정 시간,1,1,0,0,0,120,within_budget,strong_visual_block
root,media-safety-smoke.csv,log_off_harmful,harmful,log_off_harmful,harmful,block,True,False,False,03_apply,hide/remove 적용,apply_ms,ms,"class/data attribute, placeholder, compact group 적용 시간",1,1,0,0,0,80,within_budget,strong_visual_block
root,media-safety-smoke.csv,log_off_harmful,harmful,log_off_harmful,harmful,block,True,False,False,04_dom_to_action,DOM 추가 후 action,dom_added_to_action_ms,ms,후보가 화면/DOM에 들어온 뒤 실제 숨김 처리까지 걸린 시간,1,1,0,0,0,120,within_budget,strong_visual_block
root,media-safety-smoke.csv,log_off_harmful,harmful,log_off_harmful,harmful,block,True,False,False,05_late_load_decision,late-load decision,late_decision_ms,ms,이미지/영상이 늦게 삽입된 뒤 숨김 처리까지 걸린 시간,1,1,0,0,0,120,within_budget,strong_visual_block
root,media-safety-smoke.csv,log_off_harmful,harmful,log_off_harmful,harmful,block,True,False,False,06_image_fetch_future,image fetch,image_fetch_ms,ms,향후 classifier/OCR 후보 이미지 fetch 시간,1,0,,,,80,not_instrumented,strong_visual_block
root,media-safety-smoke.csv,log_off_harmful,harmful,log_off_harmful,harmful,block,True,False,False,07_bitmap_decode_future,bitmap decode,bitmap_decode_ms,ms,향후 classifier/OCR 입력 bitmap decode 시간,1,0,,,,80,not_instrumented,strong_visual_block
root,media-safety-smoke.csv,log_off_harmful,harmful,log_off_harmful,harmful,block,True,False,False,08_classifier_future,NSFW/banner classifier,classifier_ms,ms,향후 이미지 classifier 추론 시간,1,0,,,,120,not_instrumented,strong_visual_block
root,media-safety-smoke.csv,log_off_harmful,harmful,log_off_harmful,harmful,block,True,False,False,09_ocr_future,image OCR,ocr_ms,ms,향후 이미지 내 유해 단어 OCR 시간,1,0,,,,200,not_instrumented,strong_visual_block
root,media-safety-smoke.csv,log_on_address_guide_video,address-guide-video,log_on_address_guide_video,address-guide-video,block,True,True,False,01_collect,DOM 후보 수집,collect_ms,ms,visible media/image/video 후보를 DOM에서 수집하는 시간,1,1,2,2,2,50,within_budget,strong_visual_block
root,media-safety-smoke.csv,log_on_address_guide_video,address-guide-video,log_on_address_guide_video,address-guide-video,block,True,True,False,02_cheap_filter,cheap filter,cheap_filter_ms,ms,alt/title/aria/link/card text/url/domain 신호 판정 시간,1,1,0,0,0,120,within_budget,strong_visual_block
root,media-safety-smoke.csv,log_on_address_guide_video,address-guide-video,log_on_address_guide_video,address-guide-video,block,True,True,False,03_apply,hide/remove 적용,apply_ms,ms,"class/data attribute, placeholder, compact group 적용 시간",1,1,0,0,0,80,within_budget,strong_visual_block
root,media-safety-smoke.csv,log_on_address_guide_video,address-guide-video,log_on_address_guide_video,address-guide-video,block,True,True,False,04_dom_to_action,DOM 추가 후 action,dom_added_to_action_ms,ms,후보가 화면/DOM에 들어온 뒤 실제 숨김 처리까지 걸린 시간,1,1,1,1,1,120,within_budget,strong_visual_block
root,media-safety-smoke.csv,log_on_address_guide_video,address-guide-video,log_on_address_guide_video,address-guide-video,block,True,True,False,05_late_load_decision,late-load decision,late_decision_ms,ms,이미지/영상이 늦게 삽입된 뒤 숨김 처리까지 걸린 시간,1,1,0,0,0,120,within_budget,strong_visual_block
