source_group,scenario,scene_type,rows,avg_ms,median_ms,p90_ms,p95_ms,max_ms,over_250ms,over_1000ms
chrome-quick-qa,diverse5-clean-salon-culture,,3,34.0,33.0,45.0,46.5,48.0,0,0
chrome-quick-qa,diverse5-clean-sibaljeom-economy,,3,60.0,61.0,83.4,86.2,89.0,0,0
chrome-quick-qa,diverse5-english-bitch,,3,0.0,0.0,0.0,0.0,0.0,0,0
chrome-quick-qa,diverse5-english-motherfucker,,3,0.0,0.0,0.0,0.0,0.0,0,0
chrome-quick-qa,diverse5-initial-byeongsin-inflected,,3,0.0,0.0,0.0,0.0,0.0,0,0
chrome-quick-qa,diverse5-initial-jiral-inflected,,3,42.7,0.0,102.4,115.2,128.0,0,0
chrome-quick-qa,diverse5-initial-ssibal-dot,,3,0.0,0.0,0.0,0.0,0.0,0,0
chrome-quick-qa,diverse5-profanity-gaesaeki-variant,,3,0.0,0.0,0.0,0.0,0.0,0,0
chrome-quick-qa,diverse5-profanity-jjanggae-news,,3,0.0,0.0,0.0,0.0,0.0,0,0
chrome-quick-qa,diverse5-profanity-momchung-issue,,3,0.0,0.0,0.0,0.0,0.0,0,0
chrome-quick-qa,diverse5-profanity-ssipal-variant,,3,0.0,0.0,0.0,0.0,0.0,0,0
chrome-quick-qa,diverse5-romanized-gaesaekki,,3,0.0,0.0,0.0,0.0,0.0,0,0
chrome-quick-qa,diverse5-romanized-jiral,,3,0.0,0.0,0.0,0.0,0.0,0,0
chrome-quick-qa,diverse5-toxicity-dismiss-command,,3,0.0,0.0,0.0,0.0,0.0,0,0
chrome-quick-qa,diverse5-toxicity-kill-command,,3,0.0,0.0,0.0,0.0,0.0,0,0
chrome-quick-qa,diverse5-toxicity-shutup-command,,3,0.0,0.0,0.0,0.0,0.0,0,0
chrome-quick-qa,initial-consonant-spaced,,8,119.5,127.5,169.9,177.9,186.0,0,0
chrome-quick-qa,sensitivity-20,,12,105.8,103.0,168.5,260.4,371.0,1,0
chrome-quick-qa,sensitivity-60,,30,182.3,153.5,371.9,656.1,722.0,5,0
chrome-quick-qa,site-risk,,2,31.0,31.0,35.8,36.4,37.0,0,0
chrome-quick-qa,spaced-profanity,,6,172.5,163.5,214.0,229.5,245.0,0,0
chrome-quick-qa,speed-hate-age-slur,,6,270.0,140.0,557.0,730.0,903.0,1,0
chrome-quick-qa,speed-hate-foreigner-slur,,6,137.5,143.0,153.0,153.5,154.0,0,0
chrome-quick-qa,speed-profanity-gaesaekki,,6,168.3,159.0,200.0,219.5,239.0,0,0
chrome-quick-qa,speed-profanity-sibal,,6,139.5,138.5,156.0,160.0,164.0,0,0
chrome-quick-qa,speed-toxicity-threat-muted,,6,127.7,149.5,194.0,196.5,199.0,0,0
chrome-quick-qa,speed-toxicity-warning,,11,81.5,81.0,125.0,138.0,151.0,0,0
extension-lastStats,bypass,,2498,112.3,76.0,228.3,251.2,2161.0,130,1
extension-lastStats,mixed,,2502,72.9,65.0,127.0,189.0,484.0,30,0
extension-lastStats,profanity,,2499,68.5,69.0,91.0,99.1,467.0,1,0
extension-lastStats,search-result,,2501,60.0,63.0,82.0,88.0,431.0,2,0
